,i,name_node,Supplier,Plant,CD,Customer,latitude,longitude
0,1,Mocoa,0,0,0,1,1.15234,-76.651055
1,2,Pasto,0,1,1,1,1.205884,-77.285787
2,3,Florencia,0,0,1,1,1.615386,-75.604236
3,4,Altamira,0,0,0,0,2.063112,-75.787545
4,5,Popayan,0,0,1,1,2.444814,-76.614739
5,6,Neiva,0,1,1,1,2.934484,-75.2809
6,7,Caloto,1,1,0,1,3.033544,-76.408081
7,8,Jamundi,0,0,1,1,3.262084,-76.541073
8,9,Cali,1,1,1,1,3.451647,-76.531985
9,10,Palmira,0,0,0,1,3.537972,-76.297166
10,11,Granada,0,0,1,1,3.544831,-73.705281
11,12,Loboguerrero,0,0,0,0,3.746412,-76.663971
12,13,Buenaventura,0,0,1,1,3.883047,-77.019721
13,14,Buga,0,0,1,1,3.900508,-76.302189
14,15,Tulua,0,1,0,1,4.089869,-76.191499
15,16,Espinal,0,0,0,0,4.149819,-74.884341
16,17,Villavicencio,0,1,1,1,4.151382,-73.63769
17,18,Ricaurte,0,0,1,1,4.277309,-74.772305
18,19,Girardot,0,0,0,1,4.304596,-74.803141
19,20,La_Paila,0,0,0,0,4.320789,-76.072075
20,21,Fusa,0,0,1,1,4.345152,-74.361823
21,22,Zarzal,0,0,1,1,4.394865,-76.072854
22,23,Ibague,0,1,1,1,4.444676,-75.242438
23,24,Ibague,0,0,1,0,4.444676,-75.242438
24,25,Armenia,0,0,1,1,4.535,-75.675689
25,26,Bogota,1,1,1,1,4.710989,-74.072092
26,27,Bogota,1,1,1,0,4.710989,-74.072092
27,28,Bogota,0,1,1,0,4.710989,-74.072092
28,29,Madrid,1,0,1,1,4.733779,-74.262757
29,30,Cartago,0,0,0,1,4.747221,-75.911629
30,31,Agua_Clara_Casa,0,0,0,0,4.748982,-72.997709
31,32,Pereira,0,1,1,1,4.808717,-75.690601
32,33,Pereira,0,1,1,0,4.808717,-75.690601
33,34,Villeta,0,0,1,1,5.011346,-74.471083
34,35,Zipaquira,0,0,1,1,5.021476,-73.990955
35,36,Manizales,0,0,1,1,5.070275,-75.513817
36,37,Aguazul,0,0,0,0,5.170847,-72.550819
37,38,Mariquita,0,0,0,0,5.199505,-74.886835
38,39,Honda,0,0,0,0,5.205118,-74.737081
39,40,Yopal,0,0,1,1,5.348903,-72.400523
40,41,La_Felisa,0,0,0,0,5.45025,-75.649796
41,42,La_Dorada,0,0,1,1,5.472709,-74.667984
42,43,Tunja,0,0,1,1,5.544642,-73.357557
43,44,Narino,0,0,0,0,5.611015,-75.174162
44,45,Chiquinquira,0,0,1,1,5.614775,-73.819571
45,46,Quibdo,0,0,0,1,5.695633,-76.649812
46,47,Sonson,0,0,0,0,5.712002,-75.309798
47,48,Duitama,0,1,1,1,5.826895,-73.032927
48,49,Barbosa_Boy,0,0,1,0,5.934363,-73.615679
49,50,Puerto_Boyaca,0,0,0,0,5.977237,-74.593395
50,51,Belen_Boy,0,0,0,0,5.9894,-72.910689
51,52,Bolombolo,0,0,0,0,6.00008,-75.81665
52,53,Hato_Corozal,0,0,0,0,6.129631,-71.773682
53,54,Rionegro,0,0,1,1,6.144837,-75.375085
54,55,Itagui,0,0,1,1,6.167568,-75.614671
55,56,Medellin,1,1,1,1,6.253041,-75.564574
56,57,Medellin,0,1,1,0,6.253041,-75.564574
57,58,Soata,0,0,0,0,6.336161,-72.68157
58,59,Barbosa_Ant,0,0,0,0,6.438791,-75.334099
59,60,Tame,0,0,0,1,6.457094,-71.745515
60,61,Puerto_Araujo,0,0,0,0,6.52273,-74.082355
61,62,Sta_Fe_A,0,0,1,1,6.52273,-75.823517
62,63,Pinchote,0,0,1,1,6.53247,-73.1727
63,64,San_Gil,0,0,0,1,6.554824,-73.13412
64,65,Malaga,0,0,0,0,6.703858,-72.729891
65,66,Barrancabermeja,0,1,1,1,7.061708,-73.851932
66,67,Arauca,0,0,0,1,7.076172,-70.710457
67,68,La_Fortuna,0,0,0,0,7.107706,-73.624878
68,69,Bucaramanga,0,1,1,1,7.119349,-73.122742
69,70,Pamplona,0,0,0,1,7.37823,-72.650337
70,71,San_Alberto,0,0,0,0,7.761063,-73.393617
71,72,Cucuta,0,1,1,1,7.889097,-72.49669
72,73,Caucasia,0,0,1,1,7.979698,-75.198563
73,74,Turbo,0,1,1,1,8.095159,-76.728456
74,75,Agua_Clara_Cesar,0,0,0,0,8.248187,-73.596725
75,76,Ocana,0,0,1,1,8.25205,-73.35322
76,77,Planeta_Rica,0,0,0,1,8.412749,-75.584048
77,78,Monteria,0,1,1,1,8.750983,-75.878535
78,79,Ye,0,0,0,0,8.812305,-75.508261
79,80,El_Burro,0,0,0,0,8.875795,-73.66139
80,81,El_Banco,0,0,0,0,9.003507,-73.973864
81,82,Lorica,0,0,0,1,9.23764,-75.813625
82,83,San_Roque,0,0,0,0,9.288159,-73.510852
83,84,Sincelejo,0,0,1,1,9.304577,-75.390557
84,85,Sta_Ana,0,0,0,0,9.322961,-74.570544
85,86,Puerta_Hierro,0,0,0,0,9.428741,-75.230255
86,87,Carmen_de_Bolivar,0,0,0,0,9.709395,-75.110779
87,88,Cuatrovientos,0,0,0,0,9.739005,-73.709335
88,89,La_Gloria,0,0,0,0,9.792971,-74.328003
89,90,Bosconia,0,0,1,1,9.970362,-73.890531
90,91,Agustin_C,0,0,0,0,10.034716,-73.237105
91,92,La_Paz,0,0,0,0,10.382467,-73.168945
92,93,Cartagena,0,1,1,1,10.391049,-75.479426
93,94,Carreto,0,0,0,0,10.438211,-74.911974
94,95,Valledupar,0,1,1,1,10.474245,-73.243633
95,96,S_Juan_Cesar,0,0,0,0,10.766667,-73.0
96,97,Buenavista,0,0,0,0,10.893997,-72.887421
97,98,Barranquilla,0,1,1,1,11.004107,-74.806981
98,99,Barranquilla,0,1,1,0,11.004107,-74.806981
99,100,Santa_Marta,0,1,1,1,11.240355,-74.211023
100,101,Maicao,0,0,1,1,11.378934,-72.248517
101,102,Riohacha,0,0,0,1,11.538415,-72.916784
